Method,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene
IVW,2,24.89864428173542,0.03691523144636301,0.0631243150132509,0.5586807978568653,1.0376050608298355,CDK11A
Wald ratio,1,22.884609520303048,0.3727953994069548,0.17874579926318626,0.037013268424518575,1.4517872729067647,PLOD1
Wald ratio,1,21.454592449197847,0.1294293135908724,0.11875592769276504,0.2757674800587764,1.1381786548571664,MFN2
IVW,2,19.703803063287296,0.16407813614428735,0.11922220051009443,0.1687479262379421,1.1783063798131919,HTR6
Wald ratio,1,154.26361189505033,-0.11802919505074377,0.04063033504796329,0.0036730878993407323,0.8886701074670023,TCEA3
Wald ratio,1,47.28956671949922,-0.3533702931833357,0.11973453655180785,0.003164586112882617,0.7023170819934751,ASAP3
Wald ratio,1,29.44133162970132,0.14122202679985618,0.0628688867079321,0.024685158400215235,1.1516803234969692,CD52
Wald ratio,1,22.81358986451033,0.12014821081267132,0.114600879975782,0.2944517485138718,1.1276639711881933,MATN1-AS1
Wald ratio,1,26.021760338360025,0.26171457257733954,0.2896429278717064,0.3662199527569414,1.2991556748481041,DOCK7
Wald ratio,1,31.398788883929942,0.032857394918893404,0.061090602450498514,0.5906827074690251,1.0334031601915796,MCOLN3
Wald ratio,1,149.27759497480073,0.07697316796915221,0.0311610643810146,0.013504835308209229,1.0800130970590787,GSTM5
Wald ratio,1,45.96462165641414,0.06104681230494873,0.0522171694654976,0.2423655080992675,1.0629486720999282,ST7L
Wald ratio,1,20.00075101994712,-0.046038222413243714,0.1993886488769665,0.8173948932983925,0.9550054588797975,ANKRD34A
Wald ratio,1,45.69425653071256,-0.1347130855759647,0.088417105700318,0.12760644871265958,0.8739666293511439,NBPF10
Wald ratio,1,18.35846307467301,-0.17071887704014066,0.13289604223096907,0.19893046444986462,0.8430585432742531,SMG5
Wald ratio,1,37.94221412969882,0.12583054598974308,0.05106191610777178,0.013729116096197425,1.134089975905191,DUTP6
Wald ratio,1,21.985655241956103,0.20101619819270464,0.23880170998942604,0.3999165132856173,1.2226445762953844,LAMC1
Wald ratio,1,25.638274545664263,-0.06502653320569822,0.1635351035478782,0.6909026277978145,0.9370426003034945,EDEM3
Wald ratio,1,25.274297960540522,0.019576140910243733,0.069655177768231,0.7786769700528919,1.0197690100453727,RPS10P7
Wald ratio,1,63.502361606977594,-0.06409148914005938,0.03443265274233033,0.06269365601360755,0.9379191861855054,PM20D1
Wald ratio,1,23.89328679410748,-0.0036003473273964583,0.2746774095838129,0.9895419892924107,0.9964061261517877,TP53BP2
