Method_Brain,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene,Method_Blood,nSNP,Min_F,Beta,SE,P,OR,Consistent
Wald ratio,1,22.884609520303048,0.3727953994069548,0.1787457992631862,0.0370132684245185,1.451787272906765,PLOD1,IVW,4,26.857269760000005,0.4082697291878665,0.1601675791567467,0.0108027329961086,1.5042128365631895,True
Wald ratio,1,154.26361189505033,-0.1180291950507437,0.0406303350479632,0.0036730878993407,0.8886701074670023,TCEA3,IVW,2,77.60905215999999,-0.46482780444185,0.2229613946167195,0.037088318548877,0.6282432765777215,True
Wald ratio,1,47.28956671949922,-0.3533702931833357,0.1197345365518078,0.0031645861128826,0.7023170819934751,ASAP3,Wald ratio,1,356.38643524,-0.9223872085262366,0.3330576855844307,0.0056150710870819,0.3975688276618153,True
Wald ratio,1,29.44133162970132,0.1412220267998561,0.0628688867079321,0.0246851584002152,1.1516803234969692,CD52,IVW,4,30.90915216,0.4717366969292377,0.22404639515058,0.0352450859726178,1.602775312501164,True
Wald ratio,1,149.2775949748007,0.0769731679691522,0.0311610643810146,0.0135048353082092,1.0800130970590789,GSTM5,IVW,2,56.786774490000006,0.3693294781618668,0.1862210384491228,0.0473355524383327,1.446764202366048,True
Wald ratio,1,37.94221412969882,0.125830545989743,0.0510619161077717,0.0137291160961974,1.134089975905191,DUTP6,IVW,3,24.35718609,0.3036314083862919,0.1179033520847338,0.010016568920838,1.3547696073332451,True
Wald ratio,1,131.40483760895162,0.2188436371888566,0.1011548499073346,0.0305064508797057,1.2446366465865606,FOXN2,IVW,3,22.40886244,0.5268554339213098,0.1935746104448283,0.00649436035702,1.6935982946858743,True
Wald ratio,1,57.28481811006455,0.1468544926590094,0.065318381604568,0.0245578712890315,1.158185426286733,GFM2,IVW,2,50.509449,0.4272548880578729,0.2088650810301208,0.0407955159828457,1.533043366375219,True
Wald ratio,1,73.07571619123782,0.1430406820535162,0.0565118067185924,0.0113684500177513,1.1537767387182865,C4A,IVW,4,66.48282369,0.622008709238576,0.2614915885524741,0.0173740493221579,1.86266584059648,True
Wald ratio,1,68.78163818358146,-0.2330091774675192,0.097519973108613,0.0168782947563841,0.7921463035939825,DNPH1,IVW,3,28.270489,-0.5240265922943167,0.2193934426613893,0.0169161847257544,0.5921314692638117,True
