Method,nSNP,Min_F,Beta,SE,P,OR,Gene
Wald ratio,1,654.70480384,-0.9586755877938972,0.1869503658079039,2.928854243577917e-07,0.3834003299452471,KLC3
Wald ratio,1,26.824112640000006,4.964698795180722,1.0048586654309546,7.784514810538212e-07,143.26539154749233,TOMM40
IVW,2,243.84696336000007,0.8835762912718732,0.1985588457741613,8.589158150273946e-06,2.419537221924242,FBXW8
IVW,2,142.95550096,0.900941527654592,0.2062368331475831,1.2511414239746443e-05,2.4619199860351557,PANK1
IVW,2,28.709235610000004,2.7889032403640983,0.6509707072089252,1.8337946755098145e-05,16.26317322493002,ARHGAP1
IVW,2,33.59245681000001,-1.3443837167236297,0.3143395645731383,1.895549442698652e-05,0.2607003236120775,CUX1
IVW,2,45.37773769,1.4945196720075518,0.3532154314816868,2.324638522077649e-05,4.457195123009265,RP11-798G7.5
Wald ratio,1,23.59142041,7.305728932902349,1.7429348376603324,2.7696373475771807e-05,1488.8048052203849,CTD-2235C13.1
Wald ratio,1,22.83119524,-5.153551128039847,1.2844222510568832,6.011737588895727e-05,0.0057788468215829,FAM219A
IVW,3,27.10139481,-0.8679922343342767,0.2200866985462093,8.017879468158462e-05,0.4197935507718444,PSMA4
IVW,2,35.36561961000002,3.264624535217192,0.8381709738888192,9.822358080735504e-05,26.170283126259868,AGPHD1
Wald ratio,1,25.88062129,3.931409195447487,1.0106353861576869,0.0001002288774905,50.97876612047757,RP11-1049A21.2
IVW,6,23.66336025,0.7976473122175639,0.2066447542894879,0.0001133902571168,2.220311080053284,HRK
Wald ratio,1,34.38532321,-12.307495352922118,3.222328484455738,0.0001337541395114,4.51775507228868e-06,GHDC
IVW,3,66.92385249,-0.7847395287602325,0.2062663752222663,0.0001420934048173,0.4562385233239706,RASSF2
IVW,2,196.86896100000007,0.9102645807569398,0.2420399372558227,0.0001693686160759,2.484979924283838,PLD1
Wald ratio,1,102.61082209,-6.200505246947096,1.6848225317630334,0.0002330395052194,0.0020284055316497,NABP2
IVW,2,26.30766681,0.813523108523724,0.2253972408633879,0.000307040935056,2.255841577709805,CTD-2616J11.4
IVW,2,67.63088644000001,1.6675522807087524,0.4675700895856841,0.000361888377472,5.299181002084121,LILRB5
Wald ratio,1,278.82654361,-1.4403544115797604,0.4055972955006857,0.0003834886068991,0.2368438036190801,PROS1
IVW,2,22.05993024,-1.2973684402139705,0.3658896038868632,0.0003914350038332,0.2732499212251838,LONRF1
IVW,2,100.45050625000002,-0.8095104628497064,0.2303930887021882,0.0004420685410222,0.4450758940860305,DND1P1
IVW,2,26.73717264,0.4449618982647256,0.1274742437221035,0.0004819329261744,1.560430739581027,RP11-465N4.4
IVW,2,22.932605440000003,-1.5230286308086758,0.4365859633911722,0.0004857450745048,0.2180504914601095,IGSF23
